sensor_id,trip_id,timestamp,elapsed_sec,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon,driver_id
ACC001,TRIP001,2025-01-01 08:00:00+00:00,0,0.2,0.1,9.8,40,19.1334,72.8291,DRV001
ACC002,TRIP001,2025-01-01 08:00:30+00:00,30,0.3,0.2,9.7,42,19.1289,72.8312,DRV001
ACC003,TRIP001,2025-01-01 08:01:00+00:00,60,4.8,0.5,9.6,20,19.1245,72.8345,DRV001
ACC004,TRIP001,2025-01-01 08:01:30+00:00,90,0.4,0.2,9.7,25,19.1198,72.8378,DRV001
ACC005,TRIP001,2025-01-01 08:02:00+00:00,120,0.3,0.1,9.8,30,19.0698,72.8512,DRV001
ACC006,TRIP002,2025-01-01 09:00:00+00:00,0,0.3,0.2,9.8,45,19.0596,72.8656,DRV795
ACC007,TRIP002,2025-01-01 09:00:30+00:00,30,0.4,0.1,9.7,48,19.0545,72.8678,DRV795
ACC008,TRIP002,2025-01-01 09:01:00+00:00,60,0.2,0.3,9.8,50,19.0489,72.8702,DRV795
ACC009,TRIP002,2025-01-01 09:07:00+00:00,420,0.5,0.2,9.7,52,19.0123,72.8889,DRV795
ACC010,TRIP002,2025-01-01 09:07:30+00:00,450,0.3,0.4,9.6,55,19.0098,72.8912,DRV795
ACC011,TRIP002,2025-01-01 09:08:00+00:00,480,5.8,4.3,9.5,15,19.0078,72.8934,DRV795
ACC012,TRIP002,2025-01-01 09:08:30+00:00,510,0.8,0.9,9.8,20,19.0056,72.8956,DRV795
ACC013,TRIP002,2025-01-01 09:09:00+00:00,540,0.2,0.1,9.8,30,19.0034,72.8978,DRV795
ACC014,TRIP003,2025-01-01 10:00:00+00:00,0,0.3,0.2,9.8,40,18.9801,72.8223,DRV002
ACC015,TRIP003,2025-01-01 10:00:30+00:00,30,0.4,0.1,9.7,42,18.9823,72.8245,DRV002
ACC016,TRIP003,2025-01-01 10:01:00+00:00,60,4.2,3.3,9.8,45,19.0234,72.8456,DRV002
